size,dirt_rate,agent,performance
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
8,0.1,Random,5
8,0.1,Random,5
8,0.1,Random,6
8,0.1,Random,5
8,0.1,Random,6
8,0.1,Random,6
8,0.1,Random,4
8,0.1,Random,6
8,0.1,Random,5
8,0.1,Random,5
8,0.2,Random,11
8,0.2,Random,11
8,0.2,Random,9
8,0.2,Random,9
8,0.2,Random,9
8,0.2,Random,10
8,0.2,Random,11
8,0.2,Random,8
8,0.2,Random,11
8,0.2,Random,9
8,0.4,Random,22
8,0.4,Random,22
8,0.4,Random,23
8,0.4,Random,22
8,0.4,Random,23
8,0.4,Random,20
8,0.4,Random,24
8,0.4,Random,22
8,0.4,Random,22
8,0.4,Random,20
8,0.8,Random,43
8,0.8,Random,47
8,0.8,Random,47
8,0.8,Random,42
8,0.8,Random,47
8,0.8,Random,46
8,0.8,Random,49
8,0.8,Random,49
8,0.8,Random,46
8,0.8,Random,45
16,0.1,Random,12
16,0.1,Random,9
16,0.1,Random,7
16,0.1,Random,13
16,0.1,Random,14
16,0.1,Random,13
16,0.1,Random,6
16,0.1,Random,14
16,0.1,Random,9
16,0.1,Random,4
