algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
Aleatoria,1,0,,,0.0015,False
BFS,1,2253,83,470,0.004,True
DFS,1,2210,,,0.0271,False
DLS50,1,1567,,,0.0012,False
UCS,1,2252,83,470,0.0134,True
A*,1,1543,83,470,0.0118,True
Aleatoria,1,0,,,0.0014,False
BFS,1,2253,83,470,0.0039,True
DFS,1,2210,,,0.0243,False
DLS50,1,1567,,,0.0012,False
UCS,1,2225,83,470,0.0127,True
A*,1,2149,83,470,0.013,True
Aleatoria,2,0,,,0.0014,False
BFS,2,2239,47,227,0.0036,True
DFS,2,1938,,,0.0213,False
DLS50,2,1621,,,0.0012,False
UCS,2,2238,47,227,0.0138,True
A*,2,521,47,227,0.0029,True
Aleatoria,2,0,,,0.0014,False
BFS,2,2239,47,227,0.0036,True
DFS,2,1938,,,0.0198,False
DLS50,2,1621,,,0.0012,False
UCS,2,1965,47,227,0.0112,True
A*,2,1615,47,227,0.0095,True
Aleatoria,3,0,,,0.0014,False
BFS,3,1869,44,350,0.003,True
DFS,3,2187,,,0.0257,False
DLS50,3,3153,,,0.0024,False
UCS,3,1863,44,350,0.0106,True
A*,3,251,44,350,0.0012,True
Aleatoria,3,0,,,0.0014,False
BFS,3,1869,44,350,0.003,True
DFS,3,2187,,,0.0239,False
DLS50,3,3153,,,0.0023,False
UCS,3,2066,44,350,0.0117,True
A*,3,2002,44,350,0.0137,True
Aleatoria,4,0,,,0.0015,False
BFS,4,398,19,64,0.0007,True
DFS,4,386,305,584,0.0012,True
DLS50,4,852,,,0.0007,False
UCS,4,408,19,64,0.0023,True
A*,4,80,19,64,0.0004,True
Aleatoria,4,0,,,0.0015,False
BFS,4,398,19,64,0.0007,True
DFS,4,386,305,584,0.0011,True
DLS50,4,852,,,0.0007,False
UCS,4,331,19,64,0.0017,True
A*,4,253,19,64,0.0014,True
Aleatoria,5,0,,,0.0014,False
BFS,5,1306,38,191,0.0021,True
DFS,5,784,516,1029,0.003,True
DLS50,5,1403,,,0.0011,False
UCS,5,1308,38,191,0.0073,True
A*,5,310,38,191,0.0018,True
Aleatoria,5,0,,,0.0015,False
BFS,5,1306,38,191,0.0021,True
DFS,5,784,516,1029,0.003,True
DLS50,5,1403,,,0.0011,False
UCS,5,961,38,191,0.0052,True
A*,5,856,38,191,0.0047,True
Aleatoria,6,0,706,3928,0.0011,True
BFS,6,325,20,110,0.0005,True
DFS,6,516,322,664,0.0014,True
DLS50,6,1195,50,158,0.0009,True
UCS,6,324,20,110,0.0016,True
A*,6,104,20,110,0.0005,True
Aleatoria,6,0,,,0.0014,False
BFS,6,325,20,110,0.0005,True
DFS,6,516,322,664,0.0014,True
DLS50,6,1195,50,158,0.0009,True
UCS,6,566,20,110,0.0031,True
A*,6,452,20,110,0.0024,True
Aleatoria,7,0,,,0.0014,False
BFS,7,1968,50,230,0.0032,True
DFS,7,1888,,,0.0227,False
DLS50,7,1595,,,0.0012,False
UCS,7,1967,50,230,0.0114,True
A*,7,559,50,230,0.003,True
Aleatoria,7,0,,,0.0014,False
BFS,7,1968,50,230,0.0032,True
DFS,7,1888,,,0.0208,False
DLS50,7,1595,,,0.0012,False
UCS,7,1927,50,230,0.011,True
A*,7,1648,50,230,0.0096,True
Aleatoria,8,0,,,0.0014,False
BFS,8,1394,44,269,0.0023,True
DFS,8,2737,962,1817,0.0284,True
DLS50,8,1411,,,0.0014,False
UCS,8,1383,44,269,0.008,True
A*,8,435,44,269,0.0025,True
Aleatoria,8,0,,,0.0014,False
BFS,8,1394,44,269,0.0023,True
DFS,8,2737,962,1817,0.0247,True
DLS50,8,1411,,,0.0015,False
UCS,8,1181,44,269,0.0061,True
A*,8,1118,44,269,0.0063,True
Aleatoria,9,0,,,0.0014,False
BFS,9,1992,48,336,0.0033,True
DFS,9,1703,,,0.0221,False
DLS50,9,2270,,,0.0016,False
UCS,9,1999,48,336,0.0117,True
A*,9,494,48,336,0.0027,True
Aleatoria,9,0,,,0.0014,False
BFS,9,1992,48,336,0.0032,True
DFS,9,1703,,,0.0185,False
DLS50,9,2270,,,0.0017,False
UCS,9,1906,48,336,0.0104,True
A*,9,1835,48,336,0.0107,True
Aleatoria,10,0,,,0.0013,False
BFS,10,1502,43,88,0.0024,True
DFS,10,1908,197,404,0.0072,True
DLS50,10,617,45,108,0.0005,True
UCS,10,1502,43,88,0.0085,True
A*,10,182,43,88,0.001,True
Aleatoria,10,0,,,0.0013,False
BFS,10,1502,43,88,0.0024,True
DFS,10,1908,197,404,0.0081,True
DLS50,10,617,45,108,0.0005,True
UCS,10,546,43,88,0.0029,True
A*,10,310,43,88,0.0017,True
Aleatoria,11,0,,,0.0014,False
BFS,11,964,37,325,0.0016,True
DFS,11,1319,,,0.0119,False
DLS50,11,1621,,,0.0012,False
UCS,11,958,37,325,0.0054,True
A*,11,114,37,325,0.0006,True
Aleatoria,11,0,,,0.0014,False
BFS,11,964,37,325,0.0016,True
DFS,11,1319,,,0.0122,False
DLS50,11,1621,,,0.0012,False
UCS,11,1434,37,325,0.0078,True
A*,11,1346,37,325,0.0076,True
Aleatoria,12,0,,,0.0014,False
BFS,12,379,25,133,0.0006,True
DFS,12,593,219,417,0.0012,True
DLS50,12,1055,,,0.0016,False
UCS,12,378,25,133,0.0021,True
A*,12,169,25,133,0.0008,True
Aleatoria,12,0,,,0.0014,False
BFS,12,379,25,133,0.0006,True
DFS,12,593,219,417,0.0012,True
DLS50,12,1055,,,0.0008,False
UCS,12,697,25,133,0.0042,True
A*,12,565,25,133,0.0031,True
Aleatoria,13,0,,,0.0014,False
BFS,13,484,20,146,0.0011,True
DFS,13,2993,780,1770,0.0261,True
DLS50,13,2497,,,0.0019,False
UCS,13,479,20,146,0.0025,True
A*,13,85,20,146,0.0004,True
Aleatoria,13,0,,,0.0014,False
BFS,13,484,20,146,0.0011,True
DFS,13,2993,780,1770,0.0212,True
DLS50,13,2497,,,0.0019,False
UCS,13,1088,20,146,0.0059,True
A*,13,803,20,146,0.0045,True
Aleatoria,14,0,,,0.0014,False
BFS,14,66,7,52,0.0001,True
DFS,14,1494,899,1754,0.0109,True
DLS50,14,934,47,128,0.001,True
UCS,14,73,7,52,0.0003,True
A*,14,17,7,52,0.0001,True
Aleatoria,14,0,,,0.0014,False
BFS,14,66,7,52,0.0002,True
DFS,14,1494,899,1754,0.0129,True
DLS50,14,934,47,128,0.001,True
UCS,14,279,7,52,0.0014,True
A*,14,181,7,52,0.0009,True
Aleatoria,15,0,263,1424,0.0004,True
BFS,15,158,9,36,0.0003,True
DFS,15,122,111,210,0.0003,True
DLS50,15,1304,19,46,0.001,True
UCS,15,140,9,36,0.0007,True
A*,15,22,9,36,0.0001,True
Aleatoria,15,0,577,3214,0.0009,True
BFS,15,158,9,36,0.0003,True
DFS,15,122,111,210,0.0003,True
DLS50,15,1304,19,46,0.0009,True
UCS,15,146,9,36,0.0007,True
A*,15,77,9,36,0.0004,True
Aleatoria,16,0,,,0.0014,False
BFS,16,352,14,32,0.0006,True
DFS,16,909,682,1510,0.0215,True
DLS50,16,1253,28,64,0.001,True
UCS,16,338,14,32,0.0019,True
A*,16,37,14,32,0.0002,True
Aleatoria,16,0,,,0.0014,False
BFS,16,352,14,32,0.0006,True
DFS,16,909,682,1510,0.0051,True
DLS50,16,1253,28,64,0.001,True
UCS,16,126,14,32,0.0006,True
A*,16,77,14,32,0.0004,True
Aleatoria,17,0,,,0.0014,False
BFS,17,572,18,126,0.0009,True
DFS,17,3909,140,302,0.0268,True
DLS50,17,204,50,158,0.0002,True
UCS,17,569,18,126,0.0031,True
A*,17,67,18,126,0.0003,True
Aleatoria,17,0,,,0.0014,False
BFS,17,572,18,126,0.0009,True
DFS,17,3909,140,302,0.0312,True
DLS50,17,204,50,158,0.0002,True
UCS,17,1010,18,126,0.0054,True
A*,17,734,18,126,0.0042,True
Aleatoria,18,0,,,0.0014,False
BFS,18,1956,48,408,0.0033,True
DFS,18,2580,,,0.0224,False
DLS50,18,1641,,,0.0012,False
UCS,18,1949,48,408,0.0113,True
A*,18,327,48,408,0.0018,True
Aleatoria,18,0,,,0.0014,False
BFS,18,1956,48,408,0.0031,True
DFS,18,2580,,,0.026,False
DLS50,18,1641,,,0.0012,False
UCS,18,2255,48,408,0.0127,True
A*,18,2167,48,408,0.0128,True
Aleatoria,19,0,,,0.0014,False
BFS,19,1872,50,230,0.0031,True
DFS,19,1743,,,0.0176,False
DLS50,19,1508,,,0.0011,False
UCS,19,1871,50,230,0.0107,True
A*,19,527,50,230,0.0029,True
Aleatoria,19,0,,,0.0014,False
BFS,19,1872,50,230,0.003,True
DFS,19,1743,,,0.0193,False
DLS50,19,1508,,,0.0011,False
UCS,19,1724,50,230,0.0101,True
A*,19,1646,50,230,0.0096,True
Aleatoria,20,0,,,0.0015,False
BFS,20,1556,46,154,0.0026,True
DFS,20,1901,,,0.022,False
DLS50,20,1818,,,0.0013,False
UCS,20,1555,46,154,0.009,True
A*,20,338,46,154,0.0016,True
Aleatoria,20,0,,,0.0014,False
BFS,20,1556,46,154,0.0026,True
DFS,20,1901,,,0.0278,False
DLS50,20,1818,,,0.0013,False
UCS,20,1217,46,154,0.0068,True
A*,20,977,46,154,0.0058,True
Aleatoria,21,0,854,4589,0.0014,True
BFS,21,1578,40,157,0.0026,True
DFS,21,969,652,1291,0.0049,True
DLS50,21,1467,,,0.0011,False
UCS,21,1577,40,157,0.0091,True
