algorithm_name,env_n,size,best_solution,H,states,time,seed
HC,1,4,"[1, 3, 0, 2]",0,2,7e-05,0
SA,2,4,"[2, 0, 3, 1]",0,21,0.00011,0
GA,3,4,"[2, 0, 3, 1]",0,80,0.000331,0
RANDOM,4,4,"[2, 0, 3, 1]",0,68,0.000283,0
HC,5,4,"[1, 3, 2, 0]",1,3,6.7e-05,1
SA,6,4,"[2, 0, 3, 1]",0,56,0.000295,1
GA,7,4,"[2, 0, 3, 1]",0,80,0.000669,1
RANDOM,8,4,"[2, 0, 3, 1]",0,21,0.00013,1
HC,9,4,"[1, 3, 0, 2]",0,3,6.7e-05,2
SA,10,4,"[1, 3, 0, 2]",0,21,0.000153,2
GA,11,4,"[2, 0, 3, 1]",0,160,0.001665,2
RANDOM,12,4,"[1, 3, 0, 2]",0,194,0.001457,2
HC,13,4,"[1, 0, 2, 3]",2,3,0.00012,3
SA,14,4,"[2, 0, 3, 1]",0,67,0.00051,3
GA,15,4,"[2, 0, 3, 1]",0,80,0.000667,3
RANDOM,16,4,"[2, 0, 3, 1]",0,27,0.00021,3
HC,17,4,"[1, 2, 0, 3]",1,2,6.3e-05,4
SA,18,4,"[2, 0, 3, 1]",0,135,0.000934,4
GA,19,4,"[1, 3, 0, 2]",0,160,0.004176,4
RANDOM,20,4,"[1, 3, 0, 2]",0,124,0.001125,4
HC,21,4,"[1, 2, 0, 3]",1,3,0.000132,5
SA,22,4,"[2, 0, 3, 1]",0,83,0.000611,5
GA,23,4,"[1, 3, 0, 2]",0,320,0.011655,5
RANDOM,24,4,"[2, 0, 3, 1]",0,146,0.001218,5
HC,25,4,"[1, 3, 2, 0]",1,3,7.4e-05,6
SA,26,4,"[2, 0, 3, 1]",0,33,0.000232,6
GA,27,4,"[2, 0, 3, 1]",0,160,0.004387,6
RANDOM,28,4,"[1, 3, 0, 2]",0,414,0.003643,6
HC,29,4,"[2, 1, 3, 0]",1,2,4.3e-05,7
SA,30,4,"[1, 3, 0, 2]",0,118,0.000782,7
GA,31,4,"[2, 0, 3, 1]",0,160,0.00274,7
RANDOM,32,4,"[1, 3, 0, 2]",0,182,0.001326,7
HC,33,4,"[0, 2, 3, 1]",1,3,6e-05,8
SA,34,4,"[2, 0, 3, 1]",0,6,4.9e-05,8
GA,35,4,"[2, 0, 3, 1]",0,160,0.002687,8
RANDOM,36,4,"[1, 3, 0, 2]",0,120,0.000777,8
HC,37,4,"[3, 0, 2, 1]",1,3,8.4e-05,9
SA,38,4,"[2, 0, 3, 1]",0,4,3.4e-05,9
GA,39,4,"[2, 0, 3, 1]",0,240,0.00426,9
RANDOM,40,4,"[1, 3, 0, 2]",0,155,0.001288,9
HC,41,4,"[0, 3, 3, 0]",2,2,0.000123,10
SA,42,4,"[1, 3, 0, 2]",0,230,0.00203,10
GA,43,4,"[2, 0, 3, 1]",0,160,0.004251,10
RANDOM,44,4,"[1, 3, 0, 2]",0,213,0.001765,10
HC,45,4,"[2, 0, 3, 1]",0,3,0.000122,11
SA,46,4,"[1, 3, 0, 2]",0,211,0.001696,11
GA,47,4,"[1, 3, 0, 2]",0,240,0.008406,11
RANDOM,48,4,"[1, 3, 0, 2]",0,151,0.00125,11
HC,49,4,"[3, 0, 2, 1]",1,3,0.000116,12
SA,50,4,"[1, 3, 0, 2]",0,27,0.000226,12
GA,51,4,"[2, 0, 3, 1]",0,160,0.004182,12
RANDOM,52,4,"[1, 3, 0, 2]",0,99,0.000741,12
HC,53,4,"[0, 2, 3, 1]",1,4,0.000123,13
SA,54,4,"[2, 0, 3, 1]",0,8,7.2e-05,13
GA,55,4,"[1, 3, 0, 2]",0,400,0.014729,13
RANDOM,56,4,"[2, 0, 3, 1]",0,139,0.001127,13
HC,57,4,"[3, 1, 0, 2]",1,4,0.000182,14
SA,58,4,"[1, 3, 0, 2]",0,74,0.000563,14
GA,59,4,"[1, 3, 0, 2]",0,80,0.000621,14
RANDOM,60,4,"[1, 3, 0, 2]",0,63,0.000449,14
HC,61,4,"[3, 0, 2, 1]",1,4,0.000134,15
SA,62,4,"[1, 3, 0, 2]",0,80,0.000768,15
GA,63,4,"[2, 0, 3, 1]",0,160,0.004929,15
RANDOM,64,4,"[2, 0, 3, 1]",0,178,0.001596,15
HC,65,4,"[1, 3, 0, 2]",0,4,0.00012,16
SA,66,4,"[1, 3, 0, 2]",0,37,0.00035,16
GA,67,4,"[1, 3, 0, 2]",0,160,0.002113,16
RANDOM,68,4,"[1, 3, 0, 2]",0,91,0.000448,16
HC,69,4,"[3, 0, 2, 1]",1,4,0.000125,17
SA,70,4,"[1, 3, 0, 2]",0,128,0.000427,17
GA,71,4,"[2, 0, 3, 1]",0,160,0.002002,17
RANDOM,72,4,"[1, 3, 0, 2]",0,159,0.000845,17
HC,73,4,"[2, 0, 3, 1]",0,4,0.000186,18
SA,74,4,"[1, 3, 0, 2]",0,10,0.000132,18
GA,75,4,"[1, 3, 0, 2]",0,240,0.006722,18
RANDOM,76,4,"[1, 3, 0, 2]",0,607,0.003792,18
HC,77,4,"[2, 0, 1, 3]",1,3,0.000158,19
SA,78,4,"[1, 3, 0, 2]",0,102,0.000788,19
GA,79,4,"[1, 3, 0, 2]",0,80,0.000493,19
RANDOM,80,4,"[1, 3, 0, 2]",0,61,0.000222,19
HC,81,4,"[1, 3, 0, 2]",0,2,4.5e-05,20
SA,82,4,"[1, 3, 0, 2]",0,129,0.000462,20
GA,83,4,"[1, 3, 0, 2]",0,160,0.00178,20
RANDOM,84,4,"[1, 3, 0, 2]",0,133,0.000956,20
HC,85,4,"[1, 3, 0, 2]",0,2,5e-05,21
SA,86,4,"[2, 0, 3, 1]",0,5,3.2e-05,21
GA,87,4,"[1, 3, 0, 2]",0,80,0.000644,21
RANDOM,88,4,"[1, 3, 0, 2]",0,29,0.000167,21
HC,89,4,"[1, 2, 0, 3]",1,3,0.000125,22
SA,90,4,"[1, 3, 0, 2]",0,127,0.000695,22
GA,91,4,"[1, 3, 0, 2]",0,80,0.000579,22
RANDOM,92,4,"[1, 3, 0, 2]",0,9,9e-05,22
HC,93,4,"[3, 1, 0, 2]",1,4,0.000118,23
SA,94,4,"[1, 3, 0, 2]",0,51,0.000391,23
GA,95,4,"[2, 0, 3, 1]",0,80,0.000781,23
RANDOM,96,4,"[2, 0, 3, 1]",0,43,0.000321,23
HC,97,4,"[2, 0, 3, 1]",0,4,0.000113,24
SA,98,4,"[1, 3, 0, 2]",0,59,0.000434,24
GA,99,4,"[2, 0, 3, 1]",0,160,0.004272,24
RANDOM,100,4,"[2, 0, 3, 1]",0,584,0.002757,24
HC,101,4,"[3, 1, 0, 2]",1,4,0.000114,25
SA,102,4,"[2, 0, 3, 1]",0,29,0.000136,25
GA,103,4,"[2, 0, 3, 1]",0,240,0.002961,25
RANDOM,104,4,"[1, 3, 0, 2]",0,425,0.001897,25
HC,105,4,"[2, 1, 3, 0]",1,3,9e-05,26
SA,106,4,"[2, 0, 3, 1]",0,29,0.000159,26
GA,107,4,"[1, 3, 0, 2]",0,80,0.000874,26
RANDOM,108,4,"[1, 3, 0, 2]",0,47,0.000433,26
HC,109,4,"[3, 0, 2, 1]",1,3,8.1e-05,27
SA,110,4,"[2, 0, 3, 1]",0,213,0.001272,27
GA,111,4,"[1, 3, 0, 2]",0,80,0.000527,27
RANDOM,112,4,"[1, 3, 0, 2]",0,16,9.3e-05,27
HC,113,4,"[0, 2, 3, 1]",1,4,0.0001,28
SA,114,4,"[2, 0, 3, 1]",0,37,0.000349,28
GA,115,4,"[1, 3, 0, 2]",0,80,0.000636,28
RANDOM,116,4,"[1, 3, 0, 2]",0,43,0.000362,28
HC,117,4,"[1, 3, 2, 0]",1,4,0.000213,29
