algorithm_name,size,success_rate,H_mean,H_std,time_mean,time_std,states_mean,states_std
GA,4,100.0,0.0,0.0,0.003176633333333333,0.0034315721186865835,152.0,79.5851311706419
GA,8,63.33333333333333,0.36666666666666664,0.49013251785356093,0.2040568,0.17429761105815336,4800.0,4303.416445505625
GA,10,36.666666666666664,0.6333333333333333,0.490132517853561,0.5184891333333334,0.23901524587742032,8002.666666666667,3319.724680455141
HC,4,26.666666666666668,0.8,0.5508613944197477,0.00010726666666666667,4.218181773141642e-05,3.1666666666666665,0.7466399831028445
HC,8,6.666666666666667,1.2666666666666666,0.6396838299494919,0.0012750666666666668,0.0003318769956322449,5.2,0.8469010445797932
HC,10,0.0,1.6333333333333333,0.6149478998583782,0.0036916,0.0011853797180068797,6.133333333333334,1.2521246311585852
RANDOM,4,100.0,0.0,0.0,0.0010270666666666666,0.0009796248026785503,151.73333333333332,157.30816085398865
RANDOM,8,0.0,1.0333333333333334,0.18257418583505536,0.09300493333333333,0.0036004204154259653,10000.0,0.0
RANDOM,10,0.0,2.3,0.534983080621924,0.13047823333333333,0.0087594984767604,10000.0,0.0
SA,4,100.0,0.0,0.0,0.0005175666666666667,0.0004800876847592232,76.03333333333333,65.3106546376271
SA,8,73.33333333333333,0.26666666666666666,0.44977644510880366,0.008538633333333333,0.0064822127207822535,1049.6333333333334,656.330524561569
SA,10,66.66666666666666,0.3333333333333333,0.47946330148538413,0.013852533333333333,0.007055883975184426,1166.1333333333334,608.5728774160386
