algorithm_name,env_n,size,success,states,time,seed,solution
BT,1,4,1,7,3.7e-05,0,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,2,4,1,4,0.000109,0,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,3,4,1,46,5.2e-05,1,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,4,4,1,12,0.00022,1,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,5,4,1,7,2.4e-05,2,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,6,4,1,4,0.000154,2,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,7,4,1,41,7.7e-05,3,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,8,4,1,12,0.000363,3,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,9,4,1,8,5.1e-05,4,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,10,4,1,4,0.000158,4,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,11,4,1,28,6.3e-05,5,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,12,4,1,8,0.000273,5,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,13,4,1,28,6.2e-05,6,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,14,4,1,8,0.000288,6,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,15,4,1,25,5.8e-05,7,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,16,4,1,8,0.000282,7,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,17,4,1,28,6.2e-05,8,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,18,4,1,8,0.000274,8,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,19,4,1,25,5.8e-05,9,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,20,4,1,8,0.00028,9,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,21,4,1,28,6e-05,10,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,22,4,1,8,0.000273,10,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,23,4,1,24,5.8e-05,11,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,24,4,1,8,0.000285,11,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,25,4,1,23,5.5e-05,12,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,26,4,1,8,0.00027,12,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,27,4,1,40,6.5e-05,13,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,28,4,1,12,0.000355,13,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,29,4,1,8,4.1e-05,14,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,30,4,1,4,0.000163,14,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,31,4,1,24,5.5e-05,15,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,32,4,1,8,0.000279,15,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,33,4,1,43,7.6e-05,16,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,34,4,1,12,0.000404,16,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,35,4,1,26,6e-05,17,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,36,4,1,8,0.000294,17,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,37,4,1,12,4.6e-05,18,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,38,4,1,4,0.000191,18,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,39,4,1,10,4.1e-05,19,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,40,4,1,4,0.000166,19,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,41,4,1,5,3.8e-05,20,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,42,4,1,4,0.000138,20,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,43,4,1,28,5.2e-05,21,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,44,4,1,8,0.000286,21,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,45,4,1,25,6e-05,22,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,46,4,1,8,0.000416,22,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,47,4,1,10,3.9e-05,23,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,48,4,1,4,0.000224,23,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,49,4,1,7,4.1e-05,24,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,50,4,1,4,0.000149,24,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,51,4,1,12,4.7e-05,25,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,52,4,1,4,0.000154,25,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,53,4,1,44,7.7e-05,26,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,54,4,1,12,0.000398,26,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,55,4,1,28,6.1e-05,27,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,56,4,1,8,0.000267,27,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,57,4,1,5,3.6e-05,28,"{0: 1, 1: 3, 2: 0, 3: 2}"
FC,58,4,1,4,0.000158,28,"{0: 1, 1: 3, 2: 0, 3: 2}"
BT,59,4,1,28,8.3e-05,29,"{0: 2, 1: 0, 2: 3, 3: 1}"
FC,60,4,1,8,0.000279,29,"{0: 2, 1: 0, 2: 3, 3: 1}"
BT,61,8,1,59,0.000144,0,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 6, 5: 3, 6: 7, 7: 2}"
FC,62,8,1,10,0.000751,0,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 6, 5: 3, 6: 7, 7: 2}"
BT,63,8,1,30,9.7e-05,1,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
FC,64,8,1,8,0.000638,1,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
